model_id,likes,downloads,last_modified,architecture,parameters,type,license,languages,dataset,epochs,batch_size,optimizer,learning_rate
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1475,675698,2025-02-24T03:32:35.000Z,"transformers,safetensors,qwen2,text-generation,conversational,arxiv:2501.12948,license:mit,text-generation-inference,endpoints_compatible,region:us",,base,,,,,,,
microsoft/bitnet-b1.58-2B-4T,1425,17160,2025-12-17T18:13:05.000Z,"transformers,safetensors,bitnet,text-generation,chat,large-language-model,conversational,custom_code,en,arxiv:2504.12285,license:mit,endpoints_compatible,8-bit,deploy:azure,region:us",,base,,- en,,,,,
microsoft/Phi-3-mini-4k-instruct,1412,742198,2025-12-10T20:22:18.000Z,"transformers,safetensors,phi3,text-generation,nlp,code,conversational,custom_code,en,fr,license:mit,eval-results,text-generation-inference,endpoints_compatible,region:us",3.8b parameters,instruction-tuned,,- en,,,,,
zai-org/GLM-4.5,1398,67529,2025-08-11T13:27:03.000Z,"transformers,safetensors,glm4_moe,text-generation,conversational,en,zh,arxiv:2508.06471,license:mit,endpoints_compatible,region:us",,base,,- en,,,,,
deepseek-ai/DeepSeek-V3.2,1391,9977156,2025-12-01T11:04:59.000Z,"transformers,safetensors,deepseek_v32,text-generation,base_model:deepseek-ai/DeepSeek-V3.2-Exp-Base,base_model:finetune:deepseek-ai/DeepSeek-V3.2-Exp-Base,license:mit,eval-results,endpoints_compatible,fp8,region:us",,base,,,,,,,
MiniMaxAI/MiniMax-M2.5,1386,899184,2026-03-10T13:42:23.000Z,"transformers,safetensors,minimax_m2,text-generation,conversational,custom_code,license:other,eval-results,endpoints_compatible,fp8,deploy:azure,region:us",,base,,,,,,,
meta-llama/Llama-3.2-1B-Instruct,1365,4368820,2024-10-24T15:07:51.000Z,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,conversational,en,de,fr,it,pt,hi,es,th,arxiv:2204.05149,arxiv:2405.16406,license:llama3.2,text-generation-inference,endpoints_compatible,region:us",,instruction-tuned,,,,,,,
microsoft/phi-1_5,1357,82480,2025-11-24T16:58:09.000Z,"transformers,safetensors,phi,text-generation,nlp,code,en,arxiv:2309.05463,license:mit,text-generation-inference,endpoints_compatible,region:us,deploy:azure",,base,,- en,,,,,
google/gemma-2-2b-it,1333,367850,2024-08-27T19:41:44.000Z,"transformers,safetensors,gemma2,text-generation,conversational,arxiv:2009.03300,arxiv:1905.07830,arxiv:1911.11641,arxiv:1904.09728,arxiv:1905.10044,arxiv:1907.10641,arxiv:1811.00937,arxiv:1809.02789,arxiv:1911.01547,arxiv:1705.03551,arxiv:2107.03374,arxiv:2108.07732,arxiv:2110.14168,arxiv:2009.11462,arxiv:2101.11718,arxiv:2110.08193,arxiv:1804.09301,arxiv:2109.07958,arxiv:1804.06876,arxiv:2103.03874,arxiv:2304.06364,arxiv:1903.00161,arxiv:2206.04615,arxiv:2203.09509,arxiv:2403.13793,base_model:google/gemma-2-2b,base_model:finetune:google/gemma-2-2b,license:gemma,text-generation-inference,endpoints_compatible,region:us",,base,,,,,,,
Qwen/Qwen3-Coder-480B-A35B-Instruct,1322,71369,2025-08-21T10:18:07.000Z,"transformers,safetensors,qwen3_moe,text-generation,conversational,arxiv:2505.09388,license:apache-2.0,eval-results,endpoints_compatible,region:us",,instruction-tuned,,,,,,,
01-ai/Yi-34B,1300,10465,2024-11-11T03:31:31.000Z,"transformers,pytorch,safetensors,llama,text-generation,arxiv:2403.04652,arxiv:2311.16502,arxiv:2401.11944,license:apache-2.0,text-generation-inference,endpoints_compatible,region:us,deploy:azure",,base,,,,,,,
zai-org/GLM-5.1,1278,94376,2026-04-16T06:11:43.000Z,"transformers,safetensors,glm_moe_dsa,text-generation,conversational,en,zh,arxiv:2602.15763,license:mit,eval-results,endpoints_compatible,region:us",,base,,- en,,,,,
MiniMaxAI/MiniMax-M2.1,1276,37630,2026-02-13T09:24:21.000Z,"transformers,safetensors,minimax_m2,text-generation,conversational,custom_code,arxiv:2509.06501,license:other,eval-results,endpoints_compatible,fp8,deploy:azure,region:us",,base,,,,,,,
Qwen/Qwen3-Coder-Next,1273,638669,2026-02-03T16:16:38.000Z,"transformers,safetensors,qwen3_next,text-generation,conversational,license:apache-2.0,eval-results,endpoints_compatible,deploy:azure,region:us",,base,,,,,,,
google/gemma-7b-it,1243,50131,2024-08-14T08:36:20.000Z,"transformers,safetensors,gguf,gemma,text-generation,conversational,arxiv:2312.11805,arxiv:2009.03300,arxiv:1905.07830,arxiv:1911.11641,arxiv:1904.09728,arxiv:1905.10044,arxiv:1907.10641,arxiv:1811.00937,arxiv:1809.02789,arxiv:1911.01547,arxiv:1705.03551,arxiv:2107.03374,arxiv:2108.07732,arxiv:2110.14168,arxiv:2304.06364,arxiv:2206.04615,arxiv:1804.06876,arxiv:2110.08193,arxiv:2009.11462,arxiv:2101.11718,arxiv:1804.09301,arxiv:2109.07958,arxiv:2203.09509,base_model:google/gemma-7b,base_model:finetune:google/gemma-7b,license:gemma,text-generation-inference,endpoints_compatible,region:us",,base,,,,,,,
dphn/dolphin-2.5-mixtral-8x7b,1242,2444,2024-05-21T16:20:06.000Z,"transformers,pytorch,safetensors,mixtral,text-generation,conversational,en,dataset:ehartford/dolphin,dataset:jondurbin/airoboros-2.2.1,dataset:ehartford/dolphin-coder,dataset:migtissera/Synthia-v1.3,dataset:teknium/openhermes,dataset:ise-uiuc/Magicoder-OSS-Instruct-75K,dataset:ise-uiuc/Magicoder-Evol-Instruct-110K,dataset:LDJnr/Pure-Dove,license:apache-2.0,text-generation-inference,endpoints_compatible,region:us",,base,,- en,,,,,
zai-org/GLM-4.6,1212,24279,2025-09-30T10:17:45.000Z,"transformers,safetensors,glm4_moe,text-generation,conversational,en,zh,arxiv:2508.06471,license:mit,eval-results,endpoints_compatible,region:us",,base,,- en,,,,,
Qwen/Qwen2.5-7B-Instruct,1205,12832577,2025-01-12T02:10:10.000Z,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2309.00071,arxiv:2407.10671,base_model:Qwen/Qwen2.5-7B,base_model:finetune:Qwen/Qwen2.5-7B,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,instruction-tuned,,- en,,,,,
ai21labs/Jamba-v0.1,1190,2215,2024-09-11T17:29:22.000Z,"transformers,safetensors,jamba,text-generation,mamba,moe,custom_code,arxiv:2403.19887,license:apache-2.0,endpoints_compatible,region:us",52b parameters,base,,,,,,,
Qwen/Qwen3-0.6B,1190,15063024,2025-07-26T03:46:27.000Z,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2505.09388,base_model:Qwen/Qwen3-0.6B-Base,base_model:finetune:Qwen/Qwen3-0.6B-Base,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,base,,,,,,,
google/gemma-2b,1163,158651,2024-09-27T12:18:55.000Z,"transformers,safetensors,gguf,gemma,text-generation,arxiv:2312.11805,arxiv:2009.03300,arxiv:1905.07830,arxiv:1911.11641,arxiv:1904.09728,arxiv:1905.10044,arxiv:1907.10641,arxiv:1811.00937,arxiv:1809.02789,arxiv:1911.01547,arxiv:1705.03551,arxiv:2107.03374,arxiv:2108.07732,arxiv:2110.14168,arxiv:2304.06364,arxiv:2206.04615,arxiv:1804.06876,arxiv:2110.08193,arxiv:2009.11462,arxiv:2101.11718,arxiv:1804.09301,arxiv:2109.07958,arxiv:2203.09509,license:gemma,text-generation-inference,endpoints_compatible,region:us",,base,,,,,,,
openchat/openchat_3.5,1140,14060,2024-05-18T18:09:11.000Z,"transformers,pytorch,mistral,text-generation,openchat,C-RLFT,conversational,dataset:openchat/openchat_sharegpt4_dataset,dataset:imone/OpenOrca_FLAN,dataset:LDJnr/LessWrong-Amplify-Instruct,dataset:LDJnr/Pure-Dove,dataset:LDJnr/Verified-Camel,dataset:tiedong/goat,dataset:glaiveai/glaive-code-assistant,dataset:meta-math/MetaMathQA,dataset:OpenAssistant/oasst_top1_2023-08-25,dataset:TIGER-Lab/MathInstruct,arxiv:2309.11235,arxiv:2303.08774,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,chat,,,,,,,
HuggingFaceH4/zephyr-7b-alpha,1120,5421,2024-10-16T11:53:22.000Z,"transformers,pytorch,safetensors,mistral,text-generation,generated_from_trainer,conversational,en,dataset:stingning/ultrachat,dataset:openbmb/UltraFeedback,arxiv:2305.18290,arxiv:2310.16944,arxiv:2305.14233,arxiv:2310.01377,base_model:mistralai/Mistral-7B-v0.1,base_model:finetune:mistralai/Mistral-7B-v0.1,license:mit,text-generation-inference,endpoints_compatible,region:us",,base,,- en,,1,,"adam with betas=(0.9,0.999) and epsilon=1e-08",
meta-llama/Llama-2-13b-chat-hf,1113,158992,2024-04-17T08:40:58.000Z,"transformers,pytorch,safetensors,llama,text-generation,facebook,meta,llama-2,conversational,en,arxiv:2307.09288,license:llama2,text-generation-inference,endpoints_compatible,region:us",,chat,,,,,,,
CohereLabs/c4ai-command-r-v01,1106,14283,2025-04-16T03:10:13.000Z,"transformers,safetensors,cohere,text-generation,conversational,en,fr,de,es,it,pt,ja,ko,zh,ar,doi:10.57967/hf/3139,license:cc-by-nc-4.0,text-generation-inference,region:us",,base,,,,,,,
unsloth/DeepSeek-R1-GGUF,1102,48518,2025-05-30T07:44:07.000Z,"transformers,gguf,deepseek_v3,text-generation,deepseek,unsloth,custom_code,en,arxiv:2501.12948,base_model:deepseek-ai/DeepSeek-R1,base_model:quantized:deepseek-ai/DeepSeek-R1,license:mit,endpoints_compatible,region:us,conversational",,base,,- en,,,,,
tiiuae/falcon-7b,1101,147698,2024-10-12T13:20:18.000Z,"transformers,pytorch,safetensors,falcon,text-generation,custom_code,en,dataset:tiiuae/falcon-refinedweb,arxiv:2205.14135,arxiv:1911.02150,arxiv:2101.00027,arxiv:2005.14165,arxiv:2104.09864,arxiv:2306.01116,license:apache-2.0,text-generation-inference,region:us,deploy:azure",7b parameters,base,,- en,,,,,
Qwen/Qwen3-235B-A22B,1088,590912,2025-07-26T03:45:13.000Z,"transformers,safetensors,qwen3_moe,text-generation,conversational,arxiv:2309.00071,arxiv:2505.09388,license:apache-2.0,eval-results,endpoints_compatible,region:us",,base,,,,,,,
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,1049,285660,2025-05-29T13:13:34.000Z,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2501.12948,license:mit,text-generation-inference,endpoints_compatible,region:us",,base,,,,,,,
Qwen/Qwen3-8B,1043,8582115,2025-07-26T03:49:13.000Z,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2309.00071,arxiv:2505.09388,base_model:Qwen/Qwen3-8B-Base,base_model:finetune:Qwen/Qwen3-8B-Base,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,base,,,,,,,
Nanbeige/Nanbeige4.1-3B,1036,319830,2026-03-25T01:56:21.000Z,"transformers,safetensors,llama,text-generation,llm,nanbeige,conversational,en,zh,arxiv:2602.13367,base_model:Nanbeige/Nanbeige4-3B-Base,base_model:finetune:Nanbeige/Nanbeige4-3B-Base,license:apache-2.0,eval-results,text-generation-inference,endpoints_compatible,deploy:azure,region:us",10b parameters,base,,- en,,,,,
tiiuae/falcon-7b-instruct,1032,59903,2024-10-12T13:20:03.000Z,"transformers,pytorch,coreml,safetensors,falcon,text-generation,conversational,custom_code,en,dataset:tiiuae/falcon-refinedweb,arxiv:2205.14135,arxiv:1911.02150,arxiv:2005.14165,arxiv:2104.09864,arxiv:2306.01116,license:apache-2.0,text-generation-inference,endpoints_compatible,region:us,deploy:azure",7b parameters,instruction-tuned,,- en,,,,,
google/gemma-3-270m,1014,101068,2025-08-14T07:35:01.000Z,"transformers,safetensors,gemma3_text,text-generation,gemma3,gemma,google,arxiv:2503.19786,arxiv:1905.07830,arxiv:1905.10044,arxiv:1911.11641,arxiv:1705.03551,arxiv:1911.01547,arxiv:1907.10641,arxiv:2311.07911,arxiv:2311.12022,arxiv:2411.04368,arxiv:1904.09728,arxiv:1903.00161,arxiv:2009.03300,arxiv:2304.06364,arxiv:2103.03874,arxiv:2110.14168,arxiv:2108.07732,arxiv:2107.03374,arxiv:2403.07974,arxiv:2305.03111,arxiv:2405.04520,arxiv:2210.03057,arxiv:2106.03193,arxiv:1910.11856,arxiv:2502.12404,arxiv:2502.21228,arxiv:2404.16816,arxiv:2104.12756,arxiv:2311.16502,arxiv:2203.10244,arxiv:2404.12390,arxiv:1810.12440,arxiv:1908.02660,arxiv:2310.02255,arxiv:2312.11805,license:gemma,text-generation-inference,endpoints_compatible,region:us",,base,,,,,,,
Qwen/Qwen3-Coder-30B-A3B-Instruct,1010,1829910,2025-12-03T08:05:17.000Z,"transformers,safetensors,qwen3_moe,text-generation,conversational,arxiv:2505.09388,license:apache-2.0,endpoints_compatible,deploy:azure,region:us",,instruction-tuned,,,,,,,
deepseek-ai/DeepSeek-V3.1-Base,1009,6731,2025-08-26T08:15:20.000Z,"transformers,safetensors,deepseek_v3,text-generation,conversational,custom_code,arxiv:2412.19437,license:mit,text-generation-inference,endpoints_compatible,fp8,region:us",,base,,,,,,,
manycore-research/SpatialLM-Llama-1B,993,848,2025-03-21T05:38:34.000Z,"transformers,safetensors,spatiallm_llama,text-generation,conversational,base_model:meta-llama/Llama-3.2-1B-Instruct,base_model:finetune:meta-llama/Llama-3.2-1B-Instruct,license:llama3.2,endpoints_compatible,region:us",,base,,,,,,,
deepseek-ai/DeepSeek-V3.2-Exp,982,191245,2025-11-18T02:39:54.000Z,"transformers,safetensors,deepseek_v32,text-generation,conversational,base_model:deepseek-ai/DeepSeek-V3.2-Exp-Base,base_model:finetune:deepseek-ai/DeepSeek-V3.2-Exp-Base,license:mit,endpoints_compatible,fp8,region:us",,base,,,,,,,
